,Restaurant,Location,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
25,ID_4944,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Desserts, Ice Cream",100,50,-,-,-,45
26,ID_7029,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",100,99,3.7,110,38,45
27,ID_6769,Mumbai Central,Mumbai,"Fast Food, South Indian, Street Food",150,50,3.2,15,9,45
28,ID_5547,"Dockyard Road, Mumbai CST Area",Mumbai,North Indian,150,50,3.3,44,19,45
29,ID_1957,"Sector 1, Noida",Noida,"North Indian, Chinese",200,50,3.8,18,18,30
30,ID_425,"Gora Bazar, Rajbari, North Dumdum, Kolkata",Kolkata,North Indian,150,50,3.2,18,7,30
31,ID_4965,"D-Block, Sector 63, Noida",Noida,"Cafe, Mexican, Japanese, Italian, Chinese",400,50,4.0,189,132,30
32,ID_5192,"FTI College, Law College Road, Pune",Pune,"Bakery, Fast Food, Rolls, Beverages",200,50,3.1,279,74,45
33,ID_6079,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",350,99,3.3,22,13,45
34,ID_3069,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100,50,4.0,581,111,30
35,ID_1160,"Sector 1, Noida",Noida,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600,50,4.7,914,499,45
36,ID_4494,Pune University,Pune,Street Food,100,50,3.4,23,7,30
37,ID_2139,"Moulali, Kolkata",Kolkata,"Fast Food, South Indian",100,50,3.6,105,53,30
38,ID_332,Delhi University-GTB Nagar,Delhi,"Pizza, Fast Food",200,50,3.5,305,29,45
39,ID_1209,"Tiretti, Kolkata",Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30
40,ID_5285,"Sandhurst Road, Mumbai CST Area",Mumbai,"Mughlai, North Indian",200,50,4.0,1408,851,45
41,ID_7544,Mumbai Central,Mumbai,"Desserts, Beverages",150,50,4.1,806,513,45
42,ID_7299,"MG Road, Pune",Pune,"Bakery, Desserts, Beverages",150,50,3.7,41,22,30
43,ID_4154,"Hyderabad Public School, Begumpet",Hyderabad,South Indian,100,50,3.7,100,27,45
44,ID_3869,"Tiretti, Kolkata",Kolkata,North Indian,200,50,3.6,106,32,30
45,ID_6868,Majestic,Bangalore,"North Indian, Street Food",200,50,3.8,37,25,30
46,ID_1641,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",200,50,3.4,45,37,30
47,ID_2809,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,Chinese,200,50,NEW,-,-,30
48,ID_5022,Delhi University-GTB Nagar,Delhi,"Chinese, Fast Food",200,99,3.5,63,8,45
49,ID_4866,Delhi University-GTB Nagar,Delhi,Lucknowi,200,50,-,-,-,30
50,ID_6857,"FTI College, Law College Road, Pune",Pune,"South Indian, North Indian",150,50,3.1,253,35,30
51,ID_3429,"FTI College, Law College Road, Pune",Pune,"Biryani, Chinese",150,50,3.2,4,4,30
52,ID_1521,"Sandhurst Road, Mumbai CST Area",Mumbai,"Tea, Fast Food",100,50,3.3,12,6,30
53,ID_5090,"MG Road, Pune",Pune,"Fast Food, Italian, Beverages",200,50,3.9,327,173,45
54,ID_348,"Sector 1, Noida",Noida,"North Indian, Beverages",250,50,3.4,49,36,30
55,ID_1443,"Chandni Chowk, Kolkata",Kolkata,Fast Food,100,50,3.3,11,1,30
56,ID_8281,"MG Road, Pune",Pune,"Street Food, Fast Food, North Indian",150,50,2.9,8,5,45
57,ID_4562,Delhi University-GTB Nagar,Delhi,Chinese,250,50,3.8,19,15,30
58,ID_156,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Rolls, Chinese",100,50,3.7,18,6,30
59,ID_5570,"Delhi Administration Flats, Timarpur",Delhi,"South Indian, Chinese, Street Food",100,50,3.1,7,2,30
60,ID_8368,"MG Road, Pune",Pune,"North Indian, Mangalorean",350,50,3.5,16,8,45
61,ID_294,"Sector 1, Noida",Noida,"Bakery, Desserts, Fast Food",100,50,NEW,-,-,30
62,ID_6967,"Yerawada, Pune, Maharashtra",Pune,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",600,50,4.6,391,174,30
63,ID_2994,"Sector 3, Marathalli",Bangalore,Bengali,200,50,3.5,32,23,30
64,ID_6369,"Sector 1, Noida",Noida,"Bakery, Fast Food",200,50,3.3,39,11,30
65,ID_7768,"Sector 14, Noida",Noida,Fast Food,150,99,3.9,116,19,30
66,ID_134,"Dockyard Road, Mumbai CST Area",Mumbai,Desserts,100,50,3.4,22,9,45
67,ID_8414,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Desserts, Beverages, American",200,50,3.9,51,29,45
68,ID_2216,"Delhi High Court, India Gate",Delhi,"Chinese, Thai",150,50,3.2,9,1,30
69,ID_2131,Mumbai Central,Mumbai,"Chinese, Fast Food, Mughlai",300,50,3.7,128,30,45
70,ID_8057,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Cafe, Continental, Fast Food",300,50,4.1,119,59,30
71,ID_3309,"D-Block, Sector 63, Noida",Noida,"Chinese, Rolls",150,50,-,-,-,30
72,ID_7722,"Sector 1, Noida",Noida,"North Indian, Fast Food",200,50,3.4,26,16,30
73,ID_3117,"Moulali, Kolkata",Kolkata,"Mishti, Fast Food, South Indian",100,50,4.0,381,89,65
74,ID_6905,Majestic,Bangalore,"South Indian, North Indian, Chinese, Beverages",350,50,4.2,441,170,30
75,ID_3087,"Chandni Chowk, Kolkata",Kolkata,"Fast Food, Bengali",100,50,-,-,-,30
76,ID_207,"Delhi Administration Flats, Timarpur",Delhi,"Mithai, Street Food",100,50,3.7,62,10,30
77,ID_5095,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Beverages, Desserts",100,50,3.6,7,4,30
78,ID_8233,Delhi University-GTB Nagar,Delhi,Fast Food,100,50,3.6,90,31,30
79,ID_6205,"Sector 14, Noida",Noida,Rolls,100,50,NEW,-,-,30
80,ID_7753,"Sandhurst Road, Mumbai CST Area",Mumbai,"European, Continental, North Indian, Desserts",750,50,4.3,3124,1660,45
81,ID_888,"D-Block, Sector 63, Noida",Noida,"Biryani, Mughlai, North Indian",100,50,3.5,69,37,30
82,ID_164,"D-Block, Sector 63, Noida",Noida,"North Indian, Mughlai",150,50,3.3,-,-,30
83,ID_2653,"Sector 14, Noida",Noida,"North Indian, Chinese",200,50,3.9,385,71,30
84,ID_2818,"MG Road, Pune",Pune,"North Indian, Chinese",150,99,2.8,96,41,45
85,ID_7520,"Sector 1, Noida",Noida,"North Indian, Chinese",200,50,NEW,-,-,45
86,ID_4849,"MG Road, Pune",Pune,"Chinese, Pizza, Fast Food",150,50,3.7,55,20,30
87,ID_4179,"D-Block, Sector 63, Noida",Noida,North Indian,200,50,3.3,9,5,30
88,ID_5321,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Biryani, Hyderabadi, North Indian, Mughlai",100,50,2.6,-,-,30
89,ID_2376,"Chatta Bazaar, Malakpet, Hyderabad",Hyderabad,South Indian,50,50,3.5,12,2,30
90,ID_3147,"Sandhurst Road, Mumbai CST Area",Mumbai,"Momos, Fast Food",150,50,3.5,85,40,30
91,ID_6452,"Sector 63A,Gurgaon",Gurgaon,"Mithai, North Indian, South Indian, Chinese, Street Food",150,50,NEW,-,-,30
92,ID_5076,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"South Indian, North Indian",100,50,3.7,27,5,30
93,ID_7738,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Continental, Beverages, Desserts",200,50,NEW,-,-,30
94,ID_4942,Mumbai Central,Mumbai,"Fast Food, Ice Cream, Beverages",200,50,3.8,107,47,30
95,ID_3468,"D-Block, Sector 63, Noida",Noida,Fast Food,100,50,3.3,13,4,30
96,ID_3797,"Delhi High Court, India Gate",Delhi,Fast Food,200,50,3.3,25,16,30
97,ID_6224,"D-Block, Sector 63, Noida",Noida,Chinese,100,50,3.5,24,1,30
98,ID_1124,Delhi University-GTB Nagar,Delhi,"Burger, Fast Food",100,50,-,-,-,30
99,ID_6637,Delhi Cantt.,Delhi,Mughlai,150,50,2.8,7,3,30
100,ID_8434,"Sector 3, Marathalli",Bangalore,Chinese,300,99,2.9,393,191,65
101,ID_2962,Pune University,Pune,"North Indian, Rolls, Chinese",200,50,3.9,348,105,30
102,ID_6091,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Andhra, Biryani",200,50,3.4,15,7,30
103,ID_2198,Majestic,Bangalore,Street Food,100,50,4.1,260,100,65
104,ID_4654,"FTI College, Law College Road, Pune",Pune,"Burger, Fast Food",200,50,3.9,326,106,30
105,ID_3712,"Dockyard Road, Mumbai CST Area",Mumbai,Street Food,100,50,3.5,18,8,30
106,ID_1858,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",200,50,NEW,-,-,30
107,ID_4395,"D-Block, Sector 63, Noida",Noida,"North Indian, Lucknowi",200,50,2.8,150,89,45
108,ID_3814,"Delhi Administration Flats, Timarpur",Delhi,"Fast Food, Beverages",150,50,3.7,35,21,30
109,ID_7226,"Sector 14, Noida",Noida,North Indian,100,50,3.0,7,1,30
110,ID_2915,"MG Road, Pune",Pune,North Indian,200,50,3.3,28,9,30
111,ID_5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,Pizza,200,50,3.5,87,37,45
112,ID_1532,"Sector 14, Noida",Noida,"Chinese, Fast Food",150,50,3.5,187,65,30
113,ID_3539,"FTI College, Law College Road, Pune",Pune,"Desserts, Ice Cream",100,50,2.6,28,13,30
114,ID_2677,"MG Road, Pune",Pune,"North Indian, Chinese, Street Food",150,50,2.8,-,-,30
115,ID_1203,"FTI College, Law College Road, Pune",Pune,Fast Food,150,50,3.0,4,-,30
116,ID_4645,"Babarpur, New Delhi, Delhi",Delhi,"North Indian, Fast Food",300,50,3.5,15,7,30
117,ID_1210,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Beverages, Cafe, Sandwich, Fast Food, Desserts",250,50,3.8,118,69,45
118,ID_7260,"Sector 3, Marathalli",Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30
119,ID_1996,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,North Indian,150,50,-,-,-,30
120,ID_7796,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Street Food, Beverages",100,50,-,-,-,30
121,ID_1324,"D-Block, Sector 63, Noida",Noida,Bakery,200,50,3.1,12,2,30
122,ID_1885,Delhi Cantt.,Delhi,North Indian,300,50,4.2,-,-,45
123,ID_2885,"Nathan Road, Mangaldas Road, Pune",Pune,"German, Italian, Cafe",450,50,4.3,4691,2547,45
124,ID_3351,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, South Indian, Chinese, Arabian",350,50,3.1,89,10,30
125,ID_5223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100,50,3.9,70,9,30
126,ID_2093,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Mughlai",150,50,3.1,9,2,30
127,ID_5969,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,Mithai,50,50,2.8,11,2,30
128,ID_4654,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Burger, Fast Food",200,50,3.8,349,159,45
129,ID_8146,"MG Road, Pune",Pune,"Finger Food, North Indian",300,50,3.0,6,1,30
130,ID_7674,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",250,99,4.5,143,110,65
131,ID_7677,"D-Block, Sector 63, Noida",Noida,Bakery,150,50,3.2,7,3,30
132,ID_4484,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Fast Food, Beverages",100,50,-,-,-,30
133,ID_669,"Delhi High Court, India Gate",Delhi,"North Indian, South Indian, Fast Food, Beverages",150,50,3.6,81,42,30
134,ID_4064,Mumbai Central,Mumbai,Street Food,50,50,3.7,63,36,45
135,ID_1181,"Sector 1, Noida",Noida,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200,50,3.4,417,181,45
136,ID_4609,Mumbai Central,Mumbai,"Street Food, Fast Food",150,50,3.4,20,16,30
137,ID_5401,"D-Block, Sector 63, Noida",Noida,Chinese,150,50,4.2,124,109,30
138,ID_1215,Pune University,Pune,"Fast Food, Street Food, Momos",100,50,3.3,12,1,30
139,ID_1773,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Fast Food",200,50,2.9,47,10,45
140,ID_1452,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Street Food, Fast Food",100,50,4.0,242,179,65
141,ID_5440,"Yerawada, Pune, Maharashtra",Pune,"Italian, Beverages",300,50,3.5,12,5,30
142,ID_553,"Sector 1, Noida",Noida,Mughlai,150,50,3.4,9,2,30
143,ID_622,"FTI College, Law College Road, Pune",Pune,Fast Food,100,50,-,-,-,30
144,ID_6537,"D-Block, Sector 63, Noida",Noida,"Biryani, North Indian, Mughlai, Kebab, Rolls",250,99,4.7,706,490,30
145,ID_6951,"Panjetan Colony, Malakpet, Hyderabad",Hyderabad,South Indian,50,50,4.0,109,28,30
146,ID_8413,Pune University,Pune,Desserts,150,50,4.4,584,343,45
147,ID_5237,"Delhi Administration Flats, Timarpur",Delhi,"Fast Food, Rolls, Beverages",150,50,3.6,37,16,30
148,ID_1005,Delhi University-GTB Nagar,Delhi,"Street Food, Fast Food",150,50,4.3,253,118,30
149,ID_5181,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Chinese",150,50,3.4,123,37,30
150,ID_1766,"Yerawada, Pune, Maharashtra",Pune,"Chettinad, North Indian, Seafood",200,50,4.1,1665,690,30
151,ID_6145,Pune University,Pune,"Ice Cream, Fast Food",150,50,3.3,9,3,30
152,ID_1972,"Delhi High Court, India Gate",Delhi,"Pizza, Burger, Fast Food, Desserts",200,50,3.9,191,72,45
153,ID_8614,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Biryani, Mughlai",100,50,-,-,-,30
154,ID_308,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Chinese, South Indian, North Indian",250,50,3.0,4,2,30
155,ID_4468,"Sector 1, Noida",Noida,South Indian,150,50,3.5,40,6,30
156,ID_7468,"Yerawada, Pune, Maharashtra",Pune,"North Indian, Street Food, Desserts",150,50,4.0,696,296,45
157,ID_7299,Mumbai Central,Mumbai,"Bakery, Desserts",150,50,3.8,72,33,45
158,ID_4827,"Sector 63A,Gurgaon",Gurgaon,"Chinese, Fast Food, North Indian, Momos",200,99,4.0,334,164,45
159,ID_8391,"Sector 1, Noida",Noida,"Cafe, Desserts",200,50,NEW,-,-,30
160,ID_8049,"Sector 1, Noida",Noida,"North Indian, Mughlai, Momos",250,50,3.8,173,29,45
161,ID_1171,Mumbai Central,Mumbai,Juices,100,50,3.1,5,2,30
162,ID_4137,"Moulali, Kolkata",Kolkata,"Desserts, Beverages",200,50,4.1,62,50,30
163,ID_8129,"Tiretti, Kolkata",Kolkata,"Chinese, North Indian",100,50,3.8,85,27,30
164,ID_7583,"Raja Bazar, Kolkata",Kolkata,"Sandwich, Italian, Desserts",250,50,3.8,224,129,45
165,ID_5352,"D-Block, Sector 63, Noida",Noida,Mughlai,200,50,-,-,-,30
166,ID_6908,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100,50,-,-,-,30
167,ID_1316,"Delhi High Court, India Gate",Delhi,"Cafe, Italian",600,50,4.2,2653,1581,65
168,ID_3332,"Yerawada, Pune, Maharashtra",Pune,"North Indian, Chinese",150,50,-,-,-,30
169,ID_7412,Delhi Cantt.,Delhi,"North Indian, Chinese, Rolls",150,50,4.8,326,234,30
170,ID_8503,"Yerawada, Pune, Maharashtra",Pune,"Bengali, Fast Food",300,50,3.5,90,45,45
171,ID_8382,"FTI College, Law College Road, Pune",Pune,"North Indian, Street Food",200,50,3.9,175,59,45
172,ID_5921,"FTI College, Law College Road, Pune",Pune,North Indian,150,50,3.1,4,-,30
173,ID_463,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Ice Cream, Desserts",200,50,4.1,-,-,30
174,ID_1460,"Babarpur, New Delhi, Delhi",Delhi,Mithai,100,50,3.3,15,7,30
175,ID_4202,"Dockyard Road, Mumbai CST Area",Mumbai,"Parsi, Bakery",200,50,4.0,4335,2363,30
176,ID_975,Mumbai Central,Mumbai,"Japanese, Sushi",400,50,3.6,163,72,45
177,ID_8359,"Sector 1, Noida",Noida,"North Indian, Chinese",550,50,3.4,53,24,30
178,ID_6548,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Beverages, Desserts, Ice Cream",150,50,2.9,6,2,45
179,ID_2002,Delhi Cantt.,Delhi,Rolls,50,50,3.1,6,2,30
180,ID_7261,Mumbai Central,Mumbai,"North Indian, South Indian, Chinese, Fast Food",350,50,3.0,19,5,45
181,ID_7696,"Rmz Centennial, I Gate, Whitefield",Bangalore,"North Indian, Chinese",150,99,3.9,216,115,45
182,ID_4095,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Chinese",200,50,3.7,45,12,45
183,ID_5986,"Nathan Road, Mangaldas Road, Pune",Pune,"North Indian, Chinese",200,50,3.8,302,138,45
184,ID_7172,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,North Indian,150,50,2.8,16,8,45
185,ID_2780,"Dockyard Road, Mumbai CST Area",Mumbai,"Fast Food, Chinese",200,50,3.1,76,36,45
186,ID_6441,Delhi University-GTB Nagar,Delhi,Street Food,100,50,3.1,4,1,30
187,ID_2164,Pune University,Pune,"Ice Cream, Fast Food, Beverages",150,50,NEW,-,-,30
188,ID_2053,Pune University,Pune,South Indian,150,50,3.6,87,45,45
189,ID_1172,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,Cafe,200,50,3.3,9,1,30
190,ID_3499,"Tiretti, Kolkata",Kolkata,"Chinese, Fast Food",100,50,3.2,12,7,30
191,ID_62,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Chinese, Fast Food, North Indian, Mughlai",300,50,3.4,298,175,65
192,ID_5414,"Rmz Centennial, I Gate, Whitefield",Bangalore,Desserts,150,50,3.6,18,3,45
193,ID_7309,"Dockyard Road, Mumbai CST Area",Mumbai,"Fast Food, Street Food, Beverages",150,50,3.7,77,39,45
194,ID_1639,"Raja Bazar, Kolkata",Kolkata,"Fast Food, American",150,50,3.5,101,53,45
195,ID_3106,Mumbai Central,Mumbai,"Fast Food, Mughlai",100,50,3.9,116,66,45
196,ID_2617,Pune University,Pune,"Fast Food, Biryani, Beverages",200,50,-,-,-,30
197,ID_2041,"Yerawada, Pune, Maharashtra",Pune,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650,50,4.4,3248,1603,45
198,ID_2673,"Sector 1, Noida",Noida,"Chinese, North Indian",200,50,3.6,125,29,30
199,ID_7912,Delhi University-GTB Nagar,Delhi,"Pizza, Beverages",350,50,3.3,11,6,30
200,ID_3779,"Tiretti, Kolkata",Kolkata,"Beverages, Juices, Fast Food",100,50,3.6,31,15,30
201,ID_3683,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,150,50,3.0,4,1,30
202,ID_4508,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Chinese, North Indian",150,50,3.1,192,50,45
203,ID_4878,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Cafe, Continental, Italian",400,50,4.2,2828,1443,45
204,ID_2802,"D-Block, Sector 63, Noida",Noida,"Bakery, Desserts",150,50,3.2,6,4,30
205,ID_2814,"Delhi High Court, India Gate",Delhi,"Japanese, Sushi, Asian",800,50,4.2,721,390,45
206,ID_188,"Panjetan Colony, Malakpet, Hyderabad",Hyderabad,"North Indian, Mughlai",150,50,3.3,4,2,30
207,ID_4614,"D-Block, Sector 63, Noida",Noida,"North Indian, Mughlai",200,50,3.7,66,42,30
208,ID_7647,"D-Block, Sector 63, Noida",Noida,"Chinese, Fast Food, Momos",150,50,-,-,-,30
209,ID_5499,"Sector 3, Marathalli",Bangalore,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150,50,3.5,45,29,45
210,ID_7594,Mumbai Central,Mumbai,Burger,200,50,NEW,-,-,30
211,ID_6436,"MG Road, Pune",Pune,South Indian,150,50,3.9,219,108,30
212,ID_4298,Mumbai Central,Mumbai,"Salad, Beverages, Healthy Food, Desserts",200,50,3.5,36,24,65
213,ID_7158,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Ice Cream, Cafe, Pizza, Burger, Beverages",200,50,4.5,2805,1457,45
214,ID_7750,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Asian, Biryani, North Indian, Desserts",200,50,4.1,37,30,45
215,ID_7397,"Sector 63A,Gurgaon",Gurgaon,"Continental, Burger, Wraps, Beverages",150,50,4.0,34,27,30
216,ID_5574,Delhi University-GTB Nagar,Delhi,"Fast Food, Chinese",150,50,NEW,-,-,30
217,ID_4635,"FTI College, Law College Road, Pune",Pune,Street Food,100,50,NEW,-,-,30
218,ID_6659,"Jaya Nagar, Saidabad, Hyderabad",Hyderabad,Chinese,100,50,-,-,-,30
219,ID_621,"Sector 63A,Gurgaon",Gurgaon,"Mithai, Street Food, Chinese",150,50,3.3,35,16,65
220,ID_7260,Majestic,Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30
221,ID_5602,"Sector 1, Noida",Noida,"North Indian, Chinese",250,50,2.8,27,11,30
222,ID_7252,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250,50,3.9,163,112,30
223,ID_2879,"Sandhurst Road, Mumbai CST Area",Mumbai,"South Indian, North Indian, Fast Food",200,50,3.7,182,107,45
224,ID_2637,Majestic,Bangalore,"Chinese, North Indian, Street Food",150,50,NEW,-,-,30
225,ID_6278,"Nathan Road, Mangaldas Road, Pune",Pune,"Chinese, Cantonese","1,000",50,4.7,441,259,30
226,ID_4625,"Delhi Administration Flats, Timarpur",Delhi,"North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,-,-,30
227,ID_3176,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Fast Food, Chinese",150,50,3.5,26,6,30
228,ID_6778,Pune University,Pune,Street Food,100,50,-,-,-,30
229,ID_6312,"MG Road, Pune",Pune,"Maharashtrian, South Indian, Chinese",150,50,3.3,12,7,30
230,ID_6002,"D-Block, Sector 63, Noida",Noida,Bakery,50,50,3.2,11,1,30
231,ID_3655,"Dockyard Road, Mumbai CST Area",Mumbai,Mithai,100,99,3.9,60,15,45
232,ID_3288,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, South Indian, Fast Food",100,50,-,-,-,30
233,ID_6406,"Raja Bazar, Kolkata",Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30
234,ID_1059,"Sector 3, Marathalli",Bangalore,"Chinese, North Indian",100,50,-,-,-,30
235,ID_8302,"Babarpur, New Delhi, Delhi",Delhi,"North Indian, Rolls",100,50,3.6,27,12,30
236,ID_6710,"Sector 1, Noida",Noida,"Pizza, Fast Food",150,50,3.7,43,9,30
237,ID_731,"Raja Bazar, Kolkata",Kolkata,Bengali,150,50,-,-,-,30
238,ID_2132,Mumbai Central,Mumbai,Fast Food,100,50,3.3,10,4,30
239,ID_3491,"Sector 3, Marathalli",Bangalore,"Chinese, Thai",200,50,3.5,13,9,30
240,ID_6264,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese, Mughlai",300,50,3.4,47,25,30
241,ID_437,"Babarpur, New Delhi, Delhi",Delhi,"North Indian, Fast Food",100,50,3.3,10,-,30
242,ID_6300,"Sector 3, Marathalli",Bangalore,"Mithai, Street Food",150,50,3.4,13,1,30
243,ID_7465,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Tibetan, Chinese, Momos",250,50,4.2,633,269,45
244,ID_1148,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Fast Food, Burger",150,50,3.5,23,6,30
245,ID_8026,"Nathan Road, Mangaldas Road, Pune",Pune,"Street Food, Fast Food, Beverages",150,50,3.4,13,10,45
246,ID_462,Mumbai Central,Mumbai,Bakery,300,50,3.8,77,52,30
247,ID_2237,"Sector 1, Noida",Noida,"North Indian, Chinese",300,50,-,-,-,30
248,ID_7266,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Fast Food, Chinese",200,50,NEW,-,-,30
249,ID_1209,"Moulali, Kolkata",Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30
