,Restaurant,Location,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Count Cuisine,Delivery_Time
42,ID_7299,"MG Road, Pune",Pune,"Bakery, Desserts, Beverages",150.0,50,3.7,41.0,22.0,3,30.0
43,ID_4154,"Hyderabad Public School, Begumpet",Hyderabad,South Indian,100.0,50,3.7,100.0,27.0,1,45.0
44,ID_3869,"Tiretti, Kolkata",Kolkata,North Indian,200.0,50,3.6,106.0,32.0,1,30.0
45,ID_6868,Majestic,Bangalore,"North Indian, Street Food",200.0,50,3.8,37.0,25.0,2,30.0
46,ID_1641,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",200.0,50,3.4,45.0,37.0,2,30.0
47,ID_2809,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,Chinese,200.0,50,3.6,63.0,26.0,1,30.0
48,ID_5022,Delhi University-GTB Nagar,Delhi,"Chinese, Fast Food",200.0,99,3.5,63.0,8.0,2,45.0
49,ID_4866,Delhi University-GTB Nagar,Delhi,Lucknowi,200.0,50,3.6,63.0,26.0,1,30.0
50,ID_6857,"FTI College, Law College Road, Pune",Pune,"South Indian, North Indian",150.0,50,3.1,253.0,35.0,2,30.0
51,ID_3429,"FTI College, Law College Road, Pune",Pune,"Biryani, Chinese",150.0,50,3.2,4.0,4.0,2,30.0
52,ID_1521,"Sandhurst Road, Mumbai CST Area",Mumbai,"Tea, Fast Food",100.0,50,3.3,12.0,6.0,2,30.0
53,ID_5090,"MG Road, Pune",Pune,"Fast Food, Italian, Beverages",200.0,50,3.9,327.0,173.0,3,45.0
54,ID_348,"Sector 1, Noida",Noida,"North Indian, Beverages",250.0,50,3.4,49.0,36.0,2,30.0
55,ID_1443,"Chandni Chowk, Kolkata",Kolkata,Fast Food,100.0,50,3.3,11.0,1.0,1,30.0
56,ID_8281,"MG Road, Pune",Pune,"Street Food, Fast Food, North Indian",150.0,50,2.9,8.0,5.0,3,45.0
57,ID_4562,Delhi University-GTB Nagar,Delhi,Chinese,250.0,50,3.8,19.0,15.0,1,30.0
58,ID_156,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Rolls, Chinese",100.0,50,3.7,18.0,6.0,2,30.0
59,ID_5570,"Delhi Administration Flats, Timarpur",Delhi,"South Indian, Chinese, Street Food",100.0,50,3.1,7.0,2.0,3,30.0
60,ID_8368,"MG Road, Pune",Pune,"North Indian, Mangalorean",350.0,50,3.5,16.0,8.0,2,45.0
61,ID_294,"Sector 1, Noida",Noida,"Bakery, Desserts, Fast Food",100.0,50,3.6,63.0,26.0,3,30.0
62,ID_6967,"Yerawada, Pune, Maharashtra",Pune,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",600.0,50,4.6,391.0,174.0,6,30.0
63,ID_2994,"Sector 3, Marathalli",Bangalore,Bengali,200.0,50,3.5,32.0,23.0,1,30.0
64,ID_6369,"Sector 1, Noida",Noida,"Bakery, Fast Food",200.0,50,3.3,39.0,11.0,2,30.0
65,ID_7768,"Sector 14, Noida",Noida,Fast Food,150.0,99,3.9,116.0,19.0,1,30.0
66,ID_134,"Dockyard Road, Mumbai CST Area",Mumbai,Desserts,100.0,50,3.4,22.0,9.0,1,45.0
67,ID_8414,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Desserts, Beverages, American",200.0,50,3.9,51.0,29.0,3,45.0
68,ID_2216,"Delhi High Court, India Gate",Delhi,"Chinese, Thai",150.0,50,3.2,9.0,1.0,2,30.0
69,ID_2131,Mumbai Central,Mumbai,"Chinese, Fast Food, Mughlai",300.0,50,3.7,128.0,30.0,3,45.0
70,ID_8057,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Cafe, Continental, Fast Food",300.0,50,4.1,119.0,59.0,3,30.0
71,ID_3309,"D-Block, Sector 63, Noida",Noida,"Chinese, Rolls",150.0,50,3.6,63.0,26.0,2,30.0
72,ID_7722,"Sector 1, Noida",Noida,"North Indian, Fast Food",200.0,50,3.4,26.0,16.0,2,30.0
73,ID_3117,"Moulali, Kolkata",Kolkata,"Mishti, Fast Food, South Indian",100.0,50,4.0,381.0,89.0,3,65.0
74,ID_6905,Majestic,Bangalore,"South Indian, North Indian, Chinese, Beverages",350.0,50,4.2,441.0,170.0,4,30.0
75,ID_3087,"Chandni Chowk, Kolkata",Kolkata,"Fast Food, Bengali",100.0,50,3.6,63.0,26.0,2,30.0
76,ID_207,"Delhi Administration Flats, Timarpur",Delhi,"Mithai, Street Food",100.0,50,3.7,62.0,10.0,2,30.0
77,ID_5095,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Beverages, Desserts",100.0,50,3.6,7.0,4.0,2,30.0
78,ID_8233,Delhi University-GTB Nagar,Delhi,Fast Food,100.0,50,3.6,90.0,31.0,1,30.0
79,ID_6205,"Sector 14, Noida",Noida,Rolls,100.0,50,3.6,63.0,26.0,1,30.0
80,ID_7753,"Sandhurst Road, Mumbai CST Area",Mumbai,"European, Continental, North Indian, Desserts",750.0,50,4.3,3124.0,1660.0,4,45.0
81,ID_888,"D-Block, Sector 63, Noida",Noida,"Biryani, Mughlai, North Indian",100.0,50,3.5,69.0,37.0,3,30.0
82,ID_164,"D-Block, Sector 63, Noida",Noida,"North Indian, Mughlai",150.0,50,3.3,63.0,26.0,2,30.0
83,ID_2653,"Sector 14, Noida",Noida,"North Indian, Chinese",200.0,50,3.9,385.0,71.0,2,30.0
84,ID_2818,"MG Road, Pune",Pune,"North Indian, Chinese",150.0,99,2.8,96.0,41.0,2,45.0
85,ID_7520,"Sector 1, Noida",Noida,"North Indian, Chinese",200.0,50,3.6,63.0,26.0,2,45.0
86,ID_4849,"MG Road, Pune",Pune,"Chinese, Pizza, Fast Food",150.0,50,3.7,55.0,20.0,3,30.0
87,ID_4179,"D-Block, Sector 63, Noida",Noida,North Indian,200.0,50,3.3,9.0,5.0,1,30.0
88,ID_5321,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Biryani, Hyderabadi, North Indian, Mughlai",100.0,50,2.6,63.0,26.0,4,30.0
89,ID_2376,"Chatta Bazaar, Malakpet, Hyderabad",Hyderabad,South Indian,50.0,50,3.5,12.0,2.0,1,30.0
90,ID_3147,"Sandhurst Road, Mumbai CST Area",Mumbai,"Momos, Fast Food",150.0,50,3.5,85.0,40.0,2,30.0
91,ID_6452,"Sector 63A,Gurgaon",Gurgaon,"Mithai, North Indian, South Indian, Chinese, Street Food",150.0,50,3.6,63.0,26.0,5,30.0
92,ID_5076,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"South Indian, North Indian",100.0,50,3.7,27.0,5.0,2,30.0
93,ID_7738,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Continental, Beverages, Desserts",200.0,50,3.6,63.0,26.0,3,30.0
94,ID_4942,Mumbai Central,Mumbai,"Fast Food, Ice Cream, Beverages",200.0,50,3.8,107.0,47.0,3,30.0
95,ID_3468,"D-Block, Sector 63, Noida",Noida,Fast Food,100.0,50,3.3,13.0,4.0,1,30.0
96,ID_3797,"Delhi High Court, India Gate",Delhi,Fast Food,200.0,50,3.3,25.0,16.0,1,30.0
97,ID_6224,"D-Block, Sector 63, Noida",Noida,Chinese,100.0,50,3.5,24.0,1.0,1,30.0
98,ID_1124,Delhi University-GTB Nagar,Delhi,"Burger, Fast Food",100.0,50,3.6,63.0,26.0,2,30.0
99,ID_6637,Delhi Cantt.,Delhi,Mughlai,150.0,50,2.8,7.0,3.0,1,30.0
100,ID_8434,"Sector 3, Marathalli",Bangalore,Chinese,300.0,99,2.9,393.0,191.0,1,65.0
101,ID_2962,Pune University,Pune,"North Indian, Rolls, Chinese",200.0,50,3.9,348.0,105.0,3,30.0
102,ID_6091,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Andhra, Biryani",200.0,50,3.4,15.0,7.0,2,30.0
103,ID_2198,Majestic,Bangalore,Street Food,100.0,50,4.1,260.0,100.0,1,65.0
104,ID_4654,"FTI College, Law College Road, Pune",Pune,"Burger, Fast Food",200.0,50,3.9,326.0,106.0,2,30.0
105,ID_3712,"Dockyard Road, Mumbai CST Area",Mumbai,Street Food,100.0,50,3.5,18.0,8.0,1,30.0
106,ID_1858,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",200.0,50,3.6,63.0,26.0,5,30.0
107,ID_4395,"D-Block, Sector 63, Noida",Noida,"North Indian, Lucknowi",200.0,50,2.8,150.0,89.0,2,45.0
108,ID_3814,"Delhi Administration Flats, Timarpur",Delhi,"Fast Food, Beverages",150.0,50,3.7,35.0,21.0,2,30.0
109,ID_7226,"Sector 14, Noida",Noida,North Indian,100.0,50,3.0,7.0,1.0,1,30.0
110,ID_2915,"MG Road, Pune",Pune,North Indian,200.0,50,3.3,28.0,9.0,1,30.0
111,ID_5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,Pizza,200.0,50,3.5,87.0,37.0,1,45.0
112,ID_1532,"Sector 14, Noida",Noida,"Chinese, Fast Food",150.0,50,3.5,187.0,65.0,2,30.0
113,ID_3539,"FTI College, Law College Road, Pune",Pune,"Desserts, Ice Cream",100.0,50,2.6,28.0,13.0,2,30.0
114,ID_2677,"MG Road, Pune",Pune,"North Indian, Chinese, Street Food",150.0,50,2.8,63.0,26.0,3,30.0
115,ID_1203,"FTI College, Law College Road, Pune",Pune,Fast Food,150.0,50,3.0,4.0,26.0,1,30.0
116,ID_4645,"Babarpur, New Delhi, Delhi",Delhi,"North Indian, Fast Food",300.0,50,3.5,15.0,7.0,2,30.0
117,ID_1210,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Beverages, Cafe, Sandwich, Fast Food, Desserts",250.0,50,3.8,118.0,69.0,5,45.0
118,ID_7260,"Sector 3, Marathalli",Bangalore,"North Indian, Mughlai",150.0,50,3.6,63.0,26.0,2,30.0
119,ID_1996,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,North Indian,150.0,50,3.6,63.0,26.0,1,30.0
120,ID_7796,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Street Food, Beverages",100.0,50,3.6,63.0,26.0,2,30.0
121,ID_1324,"D-Block, Sector 63, Noida",Noida,Bakery,200.0,50,3.1,12.0,2.0,1,30.0
122,ID_1885,Delhi Cantt.,Delhi,North Indian,300.0,50,4.2,63.0,26.0,1,45.0
123,ID_2885,"Nathan Road, Mangaldas Road, Pune",Pune,"German, Italian, Cafe",450.0,50,4.3,4691.0,2547.0,3,45.0
124,ID_3351,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, South Indian, Chinese, Arabian",350.0,50,3.1,89.0,10.0,4,30.0
125,ID_5223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100.0,50,3.9,70.0,9.0,1,30.0
126,ID_2093,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Mughlai",150.0,50,3.1,9.0,2.0,2,30.0
127,ID_5969,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,Mithai,50.0,50,2.8,11.0,2.0,1,30.0
128,ID_4654,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Burger, Fast Food",200.0,50,3.8,349.0,159.0,2,45.0
129,ID_8146,"MG Road, Pune",Pune,"Finger Food, North Indian",300.0,50,3.0,6.0,1.0,2,30.0
130,ID_7674,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",250.0,99,4.5,143.0,110.0,2,65.0
131,ID_7677,"D-Block, Sector 63, Noida",Noida,Bakery,150.0,50,3.2,7.0,3.0,1,30.0
132,ID_4484,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Fast Food, Beverages",100.0,50,3.6,63.0,26.0,2,30.0
133,ID_669,"Delhi High Court, India Gate",Delhi,"North Indian, South Indian, Fast Food, Beverages",150.0,50,3.6,81.0,42.0,4,30.0
134,ID_4064,Mumbai Central,Mumbai,Street Food,50.0,50,3.7,63.0,36.0,1,45.0
135,ID_1181,"Sector 1, Noida",Noida,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200.0,50,3.4,417.0,181.0,8,45.0
136,ID_4609,Mumbai Central,Mumbai,"Street Food, Fast Food",150.0,50,3.4,20.0,16.0,2,30.0
137,ID_5401,"D-Block, Sector 63, Noida",Noida,Chinese,150.0,50,4.2,124.0,109.0,1,30.0
138,ID_1215,Pune University,Pune,"Fast Food, Street Food, Momos",100.0,50,3.3,12.0,1.0,3,30.0
139,ID_1773,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Fast Food",200.0,50,2.9,47.0,10.0,2,45.0
140,ID_1452,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Street Food, Fast Food",100.0,50,4.0,242.0,179.0,2,65.0
141,ID_5440,"Yerawada, Pune, Maharashtra",Pune,"Italian, Beverages",300.0,50,3.5,12.0,5.0,2,30.0
142,ID_553,"Sector 1, Noida",Noida,Mughlai,150.0,50,3.4,9.0,2.0,1,30.0
143,ID_622,"FTI College, Law College Road, Pune",Pune,Fast Food,100.0,50,3.6,63.0,26.0,1,30.0
144,ID_6537,"D-Block, Sector 63, Noida",Noida,"Biryani, North Indian, Mughlai, Kebab, Rolls",250.0,99,4.7,706.0,490.0,5,30.0
145,ID_6951,"Panjetan Colony, Malakpet, Hyderabad",Hyderabad,South Indian,50.0,50,4.0,109.0,28.0,1,30.0
146,ID_8413,Pune University,Pune,Desserts,150.0,50,4.4,584.0,343.0,1,45.0
147,ID_5237,"Delhi Administration Flats, Timarpur",Delhi,"Fast Food, Rolls, Beverages",150.0,50,3.6,37.0,16.0,3,30.0
148,ID_1005,Delhi University-GTB Nagar,Delhi,"Street Food, Fast Food",150.0,50,4.3,253.0,118.0,2,30.0
149,ID_5181,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Chinese",150.0,50,3.4,123.0,37.0,2,30.0
150,ID_1766,"Yerawada, Pune, Maharashtra",Pune,"Chettinad, North Indian, Seafood",200.0,50,4.1,1665.0,690.0,3,30.0
151,ID_6145,Pune University,Pune,"Ice Cream, Fast Food",150.0,50,3.3,9.0,3.0,2,30.0
152,ID_1972,"Delhi High Court, India Gate",Delhi,"Pizza, Burger, Fast Food, Desserts",200.0,50,3.9,191.0,72.0,4,45.0
153,ID_8614,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Biryani, Mughlai",100.0,50,3.6,63.0,26.0,2,30.0
154,ID_308,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Chinese, South Indian, North Indian",250.0,50,3.0,4.0,2.0,3,30.0
155,ID_4468,"Sector 1, Noida",Noida,South Indian,150.0,50,3.5,40.0,6.0,1,30.0
156,ID_7468,"Yerawada, Pune, Maharashtra",Pune,"North Indian, Street Food, Desserts",150.0,50,4.0,696.0,296.0,3,45.0
157,ID_7299,Mumbai Central,Mumbai,"Bakery, Desserts",150.0,50,3.8,72.0,33.0,2,45.0
158,ID_4827,"Sector 63A,Gurgaon",Gurgaon,"Chinese, Fast Food, North Indian, Momos",200.0,99,4.0,334.0,164.0,4,45.0
159,ID_8391,"Sector 1, Noida",Noida,"Cafe, Desserts",200.0,50,3.6,63.0,26.0,2,30.0
160,ID_8049,"Sector 1, Noida",Noida,"North Indian, Mughlai, Momos",250.0,50,3.8,173.0,29.0,3,45.0
161,ID_1171,Mumbai Central,Mumbai,Juices,100.0,50,3.1,5.0,2.0,1,30.0
162,ID_4137,"Moulali, Kolkata",Kolkata,"Desserts, Beverages",200.0,50,4.1,62.0,50.0,2,30.0
163,ID_8129,"Tiretti, Kolkata",Kolkata,"Chinese, North Indian",100.0,50,3.8,85.0,27.0,2,30.0
164,ID_7583,"Raja Bazar, Kolkata",Kolkata,"Sandwich, Italian, Desserts",250.0,50,3.8,224.0,129.0,3,45.0
165,ID_5352,"D-Block, Sector 63, Noida",Noida,Mughlai,200.0,50,3.6,63.0,26.0,1,30.0
166,ID_6908,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100.0,50,3.6,63.0,26.0,1,30.0
167,ID_1316,"Delhi High Court, India Gate",Delhi,"Cafe, Italian",600.0,50,4.2,2653.0,1581.0,2,65.0
168,ID_3332,"Yerawada, Pune, Maharashtra",Pune,"North Indian, Chinese",150.0,50,3.6,63.0,26.0,2,30.0
169,ID_7412,Delhi Cantt.,Delhi,"North Indian, Chinese, Rolls",150.0,50,4.8,326.0,234.0,3,30.0
170,ID_8503,"Yerawada, Pune, Maharashtra",Pune,"Bengali, Fast Food",300.0,50,3.5,90.0,45.0,2,45.0
171,ID_8382,"FTI College, Law College Road, Pune",Pune,"North Indian, Street Food",200.0,50,3.9,175.0,59.0,2,45.0
172,ID_5921,"FTI College, Law College Road, Pune",Pune,North Indian,150.0,50,3.1,4.0,26.0,1,30.0
173,ID_463,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Ice Cream, Desserts",200.0,50,4.1,63.0,26.0,2,30.0
174,ID_1460,"Babarpur, New Delhi, Delhi",Delhi,Mithai,100.0,50,3.3,15.0,7.0,1,30.0
175,ID_4202,"Dockyard Road, Mumbai CST Area",Mumbai,"Parsi, Bakery",200.0,50,4.0,4335.0,2363.0,2,30.0
176,ID_975,Mumbai Central,Mumbai,"Japanese, Sushi",400.0,50,3.6,163.0,72.0,2,45.0
177,ID_8359,"Sector 1, Noida",Noida,"North Indian, Chinese",550.0,50,3.4,53.0,24.0,2,30.0
178,ID_6548,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Beverages, Desserts, Ice Cream",150.0,50,2.9,6.0,2.0,3,45.0
179,ID_2002,Delhi Cantt.,Delhi,Rolls,50.0,50,3.1,6.0,2.0,1,30.0
180,ID_7261,Mumbai Central,Mumbai,"North Indian, South Indian, Chinese, Fast Food",350.0,50,3.0,19.0,5.0,4,45.0
181,ID_7696,"Rmz Centennial, I Gate, Whitefield",Bangalore,"North Indian, Chinese",150.0,99,3.9,216.0,115.0,2,45.0
182,ID_4095,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Chinese",200.0,50,3.7,45.0,12.0,2,45.0
183,ID_5986,"Nathan Road, Mangaldas Road, Pune",Pune,"North Indian, Chinese",200.0,50,3.8,302.0,138.0,2,45.0
184,ID_7172,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,North Indian,150.0,50,2.8,16.0,8.0,1,45.0
185,ID_2780,"Dockyard Road, Mumbai CST Area",Mumbai,"Fast Food, Chinese",200.0,50,3.1,76.0,36.0,2,45.0
186,ID_6441,Delhi University-GTB Nagar,Delhi,Street Food,100.0,50,3.1,4.0,1.0,1,30.0
187,ID_2164,Pune University,Pune,"Ice Cream, Fast Food, Beverages",150.0,50,3.6,63.0,26.0,3,30.0
188,ID_2053,Pune University,Pune,South Indian,150.0,50,3.6,87.0,45.0,1,45.0
189,ID_1172,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,Cafe,200.0,50,3.3,9.0,1.0,1,30.0
190,ID_3499,"Tiretti, Kolkata",Kolkata,"Chinese, Fast Food",100.0,50,3.2,12.0,7.0,2,30.0
191,ID_62,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Chinese, Fast Food, North Indian, Mughlai",300.0,50,3.4,298.0,175.0,4,65.0
192,ID_5414,"Rmz Centennial, I Gate, Whitefield",Bangalore,Desserts,150.0,50,3.6,18.0,3.0,1,45.0
193,ID_7309,"Dockyard Road, Mumbai CST Area",Mumbai,"Fast Food, Street Food, Beverages",150.0,50,3.7,77.0,39.0,3,45.0
194,ID_1639,"Raja Bazar, Kolkata",Kolkata,"Fast Food, American",150.0,50,3.5,101.0,53.0,2,45.0
195,ID_3106,Mumbai Central,Mumbai,"Fast Food, Mughlai",100.0,50,3.9,116.0,66.0,2,45.0
196,ID_2617,Pune University,Pune,"Fast Food, Biryani, Beverages",200.0,50,3.6,63.0,26.0,3,30.0
197,ID_2041,"Yerawada, Pune, Maharashtra",Pune,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650.0,50,4.4,3248.0,1603.0,8,45.0
198,ID_2673,"Sector 1, Noida",Noida,"Chinese, North Indian",200.0,50,3.6,125.0,29.0,2,30.0
199,ID_7912,Delhi University-GTB Nagar,Delhi,"Pizza, Beverages",350.0,50,3.3,11.0,6.0,2,30.0
200,ID_3779,"Tiretti, Kolkata",Kolkata,"Beverages, Juices, Fast Food",100.0,50,3.6,31.0,15.0,3,30.0
201,ID_3683,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,150.0,50,3.0,4.0,1.0,1,30.0
202,ID_4508,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Chinese, North Indian",150.0,50,3.1,192.0,50.0,2,45.0
203,ID_4878,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Cafe, Continental, Italian",400.0,50,4.2,2828.0,1443.0,3,45.0
204,ID_2802,"D-Block, Sector 63, Noida",Noida,"Bakery, Desserts",150.0,50,3.2,6.0,4.0,2,30.0
205,ID_2814,"Delhi High Court, India Gate",Delhi,"Japanese, Sushi, Asian",800.0,50,4.2,721.0,390.0,3,45.0
206,ID_188,"Panjetan Colony, Malakpet, Hyderabad",Hyderabad,"North Indian, Mughlai",150.0,50,3.3,4.0,2.0,2,30.0
207,ID_4614,"D-Block, Sector 63, Noida",Noida,"North Indian, Mughlai",200.0,50,3.7,66.0,42.0,2,30.0
208,ID_7647,"D-Block, Sector 63, Noida",Noida,"Chinese, Fast Food, Momos",150.0,50,3.6,63.0,26.0,3,30.0
209,ID_5499,"Sector 3, Marathalli",Bangalore,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150.0,50,3.5,45.0,29.0,7,45.0
210,ID_7594,Mumbai Central,Mumbai,Burger,200.0,50,3.6,63.0,26.0,1,30.0
211,ID_6436,"MG Road, Pune",Pune,South Indian,150.0,50,3.9,219.0,108.0,1,30.0
